,id,Resource Name,Launch URL,Launch URL Languge,Organisation Name,Launch URL Date,Resources Offered,Access Method,Operating Hours,Freeform Address,Postcode,State/WP,City,GPS Plus Code,Contact Method(s),Contact Number(s),Latest Social Media Post URL,Latest Social Media Post Date,Imported by User,Info Source,Import Batch Name,Import Date,GPS Latitude,GPS Longitude,Resource End Date,Contact Name,Religious,Any Other Limits?,Access Method Other,Donations Bank Info,Donations Accepted,Freeform Notes Misc,Resource Freeform Notes,Other Contact Details,Contact Freeform Info,Must Contact First,Quantity Limits,Other Limits Details,Unique Identifier(RL),Import Status,Covers Area?,Donations Accepted Other,Estimated Supply Levels,Launch Freeform Text,Government Funded,Inactive?,Resources Offered Other,Launch URL Language Other,createdTime
0,rec9Wp6zMevVG4H5Q,Vicoholic Bistro & Cafe,https://www.facebook.com/vicoholic.bistroandcafe/posts/2968469466804701,['Mandarin'],business owner,2021-07-06,"['Supply Packs', 'General Supplies']",['Self-Service'],1.00pm-7.00pm,"No 24, Jalan Pendekar 11, Taman Ungku Tun Aminah, 81300 Skudai",81300.0,Johor,Skudai,"GM83+2X Skudai, Johor",['WhatsApp'],016 712 0626,https://www.facebook.com/1723411904643803/posts/2969998049985176/,2021-07-08,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-11T13:40:17.000Z,1.5150625,103.6549375,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-11T13:40:17.000Z
1,reck5lyjm9pZl6VTU,LUMINA Group,https://m.facebook.com/story.php?story_fbid=10226935607286075&id=1530049768,['English'],Company,2021-06-29,['Supply Packs'],['Home Delivery'],,,,Johor,"JB, Pasir Gudang, Masai and Kluang",,['Call'],0127932383,https://m.facebook.com/story.php?story_fbid=10226935607286075&id=1530049768,2021-06-29,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-11T14:01:10.000Z,,,2021-07-05,Brian Tien,,,,,,,,,,,,,,,,,,,,,,,2021-07-11T14:01:10.000Z
2,rececPROHGxgIMUib,AL-IKHSAN FOOD BANK,https://www.facebook.com/SRITIAlIkhsan/posts/1203659736754989,['Malay'],SRITI Tahfiz Al-Ikhsan,2021-06-07,['Supply Packs'],['Other'],,"Koperasi Al-Ikhsan, No.3, Jln MEdah Utama, Taman Medah, 86100 Ayer Hitam, Johor",86100.0,Johor,"Ayer Hitam, Yong Peng and Parit Raja","W5FH+V9 Ayer Hitam, Johor",,,https://www.facebook.com/199624687158504/posts/1223979651389664/,2021-07-09,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-11T14:15:39.000Z,1.9246875,103.1784375,,,Muslim,['Intermittent Offer'],registration via Google Form and applicants will be contacted,MAYBANK ISLAMIC SRITI AL IKHSAN 551584057975,"['Dry Goods', 'Fresh Goods', 'Funding']",,,,,,,,,,,,,,,,,,2021-07-11T14:15:39.000Z
3,recwnyAdD62rwvv0J,Pusat Food Bank Rumah Ngaji,https://www.facebook.com/story.php?story_fbid=504509520994726&id=101091468003202,['Malay'],Rumah Ngaji Negeri Johor,2021-06-19,['General Supplies'],['Self-Service'],,"36, Jalan Camar 8, Taman Perling, 81200 Johor Bahru, Johor",81200.0,Johor,"8 districts in Johor - Johor Bahru, Pontian, Mersing, Batu Pahat, Kota Tinggi, Kluang","FMXH+3W Johor Bahru, Johor",,+60137222165,https://www.facebook.com/Pertubuhan-Pendidikan-Rumah-Ngaji-Negeri-Johor-104717631657623/photos/199378098858242,2021-07-04,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T08:07:46.000Z,1.4976875,103.6798125,,,Muslim,,,,,Can donate to his account: MAYBANK 5511 3753 3259,,,,,,,,,,,,,,,,,2021-07-12T08:07:46.000Z
4,rec0nQxYM8toBsQhy,Gerobok Rezeki Kedai Man Jawa,https://www.facebook.com/nordin.hussin.520/posts/924729781416979,['Malay'],business owners,2021-06-11,"['Supply Packs', 'General Supplies']","['Home Delivery', 'Self-Service']",11am-7pm,"Kedai Makanan Man Jawa, next to PETRONAS Bukit  Batu: Lot 10908, Mukim Sedenak, Pekan Bukit Batu, 81020 Kulai, Johor ",81020.0,Johor,Kulai,"PCJR+9G Bukit Batu, Kulai, Johor",['FB Message'],,https://www.facebook.com/photo?fbid=941083636448260&set=a.115731552316810,2021-07-09,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T08:38:49.000Z,1.7309375,103.4413125,,Nordin Hussin,,,,,,,seems to offer both food banks and also do home delivery,https://www.facebook.com/nordin.hussin.520,"no contact number provided, will have to message on FB",,,,,,,,,,,,,,2021-07-12T08:38:49.000Z
5,rec4LeJRfjNEaZGpX,Food bank Rezqi Mart,https://www.facebook.com/story.php?story_fbid=276115924265221&id=100056004476382,['Malay'],business owner,2021-06-12,['General Supplies'],['Self-Service'],,"No 80, Jalan Besar Pagoh, 84600 Pagoh",84600.0,Johor,Muar,"4QXC+MV Pagoh, Johor",['WhatsApp'],0137051949,https://www.facebook.com/story.php?story_fbid=276115924265221&id=100056004476382,2021-06-12,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T08:46:23.000Z,2.1491875,102.7721875,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-12T08:46:23.000Z
6,recbPsULK4aKK6VYY,Lions Food Bank,https://www.facebook.com/story.php?story_fbid=4340321255999004&id=456616341036201,['English'],Lions Club Of Tangkak / Tangkak Lions Renal Centre ,2021-06-29,"['General Supplies', 'Premade Meals', 'Supply Packs']","['Self-Service', 'Home Delivery']",7.30-10.30am,"shophouse number 1583, Jalan Bidara 1, Taman Tangkak Jaya. the counter in front of the Active Nutrition Home.",84900.0,Johor,Tangkak,"7GCX+WM Tangkak, Johor",['FB Message'],,https://www.facebook.com/Lions-Club-Of-Tangkak-Tangkak-Lions-Renal-Centre-456616341036201/photos/pcb.4377309635633499/4377308975633565/,2021-07-12,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T08:53:21.000Z,2.2723125,102.5491875,,,,,,,,,"seem to offer meals, general supplies and also food packs.need to call to verify as it's not clear",,"number not stated, so will have to send a message on FB",,,,,,,,,,,,,,2021-07-12T08:53:21.000Z
7,recHN932QLr9uNJSg,Food Bank at Kuantan Pickers & Kedai Kopi,https://www.facebook.com/story.php?story_fbid=5881930038513696&id=100000902756103,['English'],N/A,2021-06-18,"['General Supplies', 'Premade Meals']","['Self-Service', 'Home Delivery']",,"No. 32, Jalan Besar 25000 Kuantan, Pahang",25000.0,Pahang,Kuantan,"R84H+CF Kuantan, Pahang","['Call', 'WhatsApp']",01117842586 ,https://www.facebook.com/kuantanpickers/photos/a.630815550351150/4089166311182706/,2021-07-10,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T13:31:40.000Z,3.8060625,103.3286875,,Iffah,,,,,,,,,,True,,,,,,,,,,,,,2021-07-12T13:31:40.000Z
8,recCdmY6VRBUKvIFl,PROGRAM CAKNA PKP By MIXO EMPIRE,https://fb.watch/6csf9jqamZ/,['Malay'],Company,2021-06-18,"['General Supplies', 'Supply Packs']","['Self-Service', 'Home Delivery']",,"A 19, Lorong Kempadang Perdana, Perkampungan Kempadang Perdana 2, 26060 Kuantan, Pahang",26060.0,Pahang,Kuantan,"P8Q7+36 Kuantan, Pahang","['Call', 'WhatsApp', 'FB Message']",019-794 7274,https://fb.watch/v/1wbgQrzYe/,2021-07-12,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T13:39:03.000Z,3.7376875,103.3130625,,,,,,,,,,https://www.facebook.com/MixoEmpire,,,,,,,,,,,,,,,2021-07-12T13:39:03.000Z
9,recpsLmgnsi2wrOwr,Food Bank PKP 3.0 by Teras Maju Bakti,https://www.instagram.com/p/CQP6cF-nFvL/,['Malay'],Company,2021-06-19,"['General Supplies', 'Supply Packs']",['Self-Service'],,"Teras Maju Bakti, No 51416 Jln Sungai Soi, Kg Kempadang, 25150 Kuantan",25150.0,Pahang,Kuantan,"Q827+QQ Kuantan, Pahang","['Call', 'WhatsApp', 'Instagram DM']",0139204799,https://www.instagram.com/p/CQP6cF-nFvL/,2021-06-19,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T13:52:05.000Z,3.7519375,103.3144375,,Encik Ikhwan,,,,,,,,https://www.instagram.com/terasmajubakti/,,,,,,,,,,,,,,,2021-07-12T13:52:05.000Z
10,recYwlLCVfeMj4Wmt,Gerobok Kongsi Rezeki Masjid Al Furqan,https://www.facebook.com/story.php?story_fbid=2552356718243692&id=774178896061492,['Malay'],mosque,2021-06-06,['General Supplies'],['Self-Service'],,"Felda Kampung Awah, 28030 Temerloh, Pahang",28030.0,Pahang,Temerloh,"GG4G+QW Temerloh, Pahang","['Call', 'WhatsApp', 'FB Message']",012-9863694 ,https://www.facebook.com/story.php?story_fbid=2552356718243692&id=774178896061492,2021-06-06,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T14:11:03.000Z,3.5069375,102.5273125,,,Muslim,,,CIMB 06028010048204 Lembaga Kebajikan Masjid Felda Kg Awah ,['Funding'],you can donate by giving cash directly to the treasurer. Contact him at 0129551069,,,,,,,,,,,,,,,,,2021-07-12T14:11:03.000Z
11,recbWYWqJjS24pZTZ,Sudut Infaq Petronas Beserah,https://www.facebook.com/101318371462050/posts/339079944352557/,['Malay'],Petronas,2021-06-16,['General Supplies'],['Self-Service'],,"Jalan Beserah, Perkampungan Bayu, 25300 Kuantan, Pahang",25300.0,Pahang,Kuantan,"V926+MX Kuantan, Pahang",['FB Message'],,https://www.facebook.com/wan.udani/posts/10223786658085957,2021-07-03,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T14:19:14.000Z,3.851687499999999,103.3624375,,,,,,,['Dry Goods'],drop off dry goods at the station,,https://www.facebook.com/Petronas-Beserah-Kuantan-101318371462050,,,,,,,,,,,,,,,2021-07-12T14:19:14.000Z
12,recYHnuEvFXoFS5JU,Food bank at Proton Mayang Holdings 3S,https://www.facebook.com/DenzYang/posts/460962048510625,"['English', 'Mandarin']",Company,2021-07-07,['General Supplies'],['Self-Service'],24H,333 JALAN KHALIDI 84000 MUAR JOHOR,84000.0,Johor,Muar,"2HR7+6M Muar, Johor",['Call'],06-954 6333,https://www.facebook.com/DenzYang/posts/460962048510625,2021-07-07,a_HerculePoirot_fan,Social Media Post,Initial Import,2021-07-12T16:07:10.000Z,2.0405625,102.5641875,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-12T16:07:10.000Z
